id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn10481_c0	>	Cytosol_0	gene_3189	Copper transport via ABC system_c0		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00058[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00058[c0] + (1)  cpd00067[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Cu2+_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  Cu2+_c0[c0] + (1)  H+_c0[c0]	rxn10481	Cuabc			
rxn03535_c0	>	Cytosol_0	gene_1066	ATP:cob(I)yrinic acid-a,c-diamide Cobeta-adenosyltransferase_c0				(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd03915[c0] => (1)  cpd00421[c0] + (1)  cpd03916[c0]	(1)  ATP_c0[c0] + (1)  H+_c0[c0] + (1)  Cob(I) yrinate diamide_c0[c0] => (1)  Triphosphate_c0[c0] + (1)  Adenosyl cobyrinate diamide_c0[c0]	rxn03535	CYRDAAT	R05220	Porphyrin and chlorophyll metabolism	Adenosylcobalamin-Biosynthesis|Biosynthesis|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|P381-PWY|Vitamin-Biosynthesis
rxn00692_c0	=	Cytosol_0	gene_3384	5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase_c0		-0.05		(1)  cpd00001[c0] + (1)  cpd00033[c0] + (1)  cpd00125[c0] <=> (1)  cpd00054[c0] + (1)  cpd00087[c0]	(1)  H2O_c0[c0] + (1)  Glycine_c0[c0] + (1)  5-10-Methylenetetrahydrofolate_c0[c0] <=> (1)  L-Serine_c0[c0] + (1)  Tetrahydrofolate_c0[c0]	rxn00692	GHMT	R00945	Glycine, serine and threonine metabolism|Cyanoamino acid metabolism|Glyoxylate and dicarboxylate metabolism|One carbon pool by folate|Methane metabolism	1CMET2-PWY|AMINE-DEG|Amino-Acid-Biosynthesis|Biosynthesis|C1-COMPOUNDS|Cofactor-Biosynthesis|Degradation|Energy-Metabolism|Folate-Biosynthesis|Formaldehyde-Assimilation|GLYCINE-SYN|GLYSYN-PWY|IND-AMINO-ACID-SYN|NUCLEO-DEG|Photosynthesis|Purine-Degradation|SER-GLYSYN-PWY|Vitamin-Biosynthesis
rxn00802_c0	=	Cytosol_0	gene_1928	2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming)_c0		7.34		(1)  cpd02152[c0] <=> (1)  cpd00051[c0] + (1)  cpd00106[c0]	(1)  L-Argininosuccinate_c0[c0] <=> (1)  L-Arginine_c0[c0] + (1)  Fumarate_c0[c0]	rxn00802		R01086	Alanine, aspartate and glutamate metabolism|Arginine and proline metabolism	ARG+POLYAMINE-SYN|ARGININE-DEG|ARGININE-SYN|ARGININE-SYN4-PWY|ARGSYN-PWY|ARGSYNBSUB-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Citrulline-Biosynthesis|Degradation|IND-AMINO-ACID-SYN|Metabolic-Regulators|NITROGEN-DEG|Nitric-Oxide-Biosynthesis|Noncarbon-Nutrients|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis
rxn02160_c0	>	Cytosol_0	gene_588	L-Histidinol-phosphate phosphohydrolase_c0		7.21		(1)  cpd00001[c0] + (1)  cpd00807[c0] => (1)  cpd00009[c0] + (1)  cpd00641[c0]	(1)  H2O_c0[c0] + (1)  L-histidinol-phosphate_c0[c0] => (1)  Phosphate_c0[c0] + (1)  L-Histidinol_c0[c0]	rxn02160	HIS2	R03013	Histidine metabolism	Amino-Acid-Biosynthesis|Biosynthesis|HISTIDINE-SYN|HISTSYN-PWY|IND-AMINO-ACID-SYN|PRPP-PWY
rxn00913_c0	>	Cytosol_0	(gene_1379 or gene_2546)	Guanosine 5'-monophosphate phosphohydrolase_c0		7.21		(1)  cpd00001[c0] + (1)  cpd00126[c0] => (1)  cpd00009[c0] + (1)  cpd00311[c0]	(1)  H2O_c0[c0] + (1)  GMP_c0[c0] => (1)  Phosphate_c0[c0] + (1)  Guanosine_c0[c0]	rxn00913	NTD9	R01227	Purine metabolism	AROMATIC-COMPOUNDS-DEGRADATION|Degradation|Guanosine-Nucleotides-Degradation|NUCLEO-DEG|P165-PWY|Purine-Degradation|Urate-Degradation
rxn01997_c0	>	Cytosol_0	gene_586	dTDPglucose 4,6-hydro-lyase_c0		-13.9		(1)  cpd00626[c0] => (1)  cpd00001[c0] + (1)  cpd00521[c0]	(1)  dTDPglucose_c0[c0] => (1)  H2O_c0[c0] + (1)  dTDP-4-oxo-6-deoxy-D-glucose_c0[c0]	rxn01997	TDPGDH	R06513	Streptomycin biosynthesis|Polyketide sugar unit biosynthesis|Biosynthesis of vancomycin group antibiotics	Antibiotic-Biosynthesis|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|DTDPRHAMSYN-PWY|ECASYN-PWY|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|OANTIGEN-PWY|Rhamnose-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|SUGAR-NUCLEOTIDES
rxn00460_c0	>	Cytosol_0	(gene_5 or gene_1709 or gene_3623)	UTP:pyruvate 2-O-phosphotransferase_c0		-4.92		(1)  cpd00020[c0] + (1)  cpd00062[c0] => (1)  cpd00014[c0] + (1)  cpd00061[c0] + (1)  cpd00067[c0]	(1)  Pyruvate_c0[c0] + (1)  UTP_c0[c0] => (1)  UDP_c0[c0] + (1)  Phosphoenolpyruvate_c0[c0] + (1)  H+_c0[c0]	rxn00460		R00659		
rxn03958_c0	=	Cytosol_0	gene_3729	1-Deoxy-D-xylulose-5-phosphate isomeroreductase_c0		5.18		(1)  cpd00006[c0] + (1)  cpd08286[c0] <=> (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd08289[c0]	(1)  NADP_c0[c0] + (1)  2-C-methyl-D-erythritol4-phosphate_c0[c0] <=> (1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  1-deoxy-D-xylulose5-phosphate_c0[c0]	rxn03958	DXPRI	R05688	Terpenoid backbone biosynthesis	Biosynthesis|Cofactor-Biosynthesis|DITERPENOID-SYN|GGPP-Biosynthesis|NONMEVIPP-PWY|Other-biosynthesis|Polyprenyl-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Terpenoid-Biosynthesis
rxn03264_c0	>	Cytosol_0	gene_2364	ATP:L-selenomethione S-adenosyltransferase_c0		-25.75		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd03163[c0] => (1)  cpd00009[c0] + (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd03392[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Selenomethionine_c0[c0] => (1)  Phosphate_c0[c0] + (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  Se-Adenosylselenomethionine_c0[c0]	rxn03264	SELMETAT	R04771		
rxn01362_c0	<	Cytosol_0	gene_2510	Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase_c0		12.54		(1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00810[c0] <= (1)  cpd00103[c0] + (1)  cpd00247[c0]	(1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  Orotidylic acid_c0[c0] <= (1)  PRPP_c0[c0] + (1)  Orotate_c0[c0]	rxn01362	ORPT	R01870	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn05329_c0	=	Cytosol_0	gene_3173	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase_c0		2.16		(1)  cpd11478[c0] <=> (1)  cpd00001[c0] + (1)  cpd11465[c0]	(1)  (R) -3-Hydroxybutanoyl-[acyl-carrier protein]_c0[c0] <=> (1)  H2O_c0[c0] + (1)  But-2-enoyl-[acyl-carrier protein]_c0[c0]	rxn05329	HBUHL1	R04428	Fatty acid biosynthesis	
rxn03174_c0	<	Cytosol_0	gene_3315	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate hydrolase_c0		7.22		(1)  cpd00001[c0] + (1)  cpd02978[c0] <= (1)  cpd03666[c0]	(1)  H2O_c0[c0] + (1)  7,8-Dihydroneopterin 3'-triphosphate_c0[c0] <= (1)  2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl) - amino-4-oxopyrimidine_c0[c0]	rxn03174		R04639	Folate biosynthesis	
rxn05161_c0	>	Cytosol_0	(gene_2009 or gene_1194 or gene_473 or gene_3133)	nonpolar-amino-acid-transporting ATPase_c0		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00107[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00107[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  L-Leucine_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  L-Leucine_c0[c0]	rxn05161	LEUabc			
rxn03951_c0	=	Cytosol_0	gene_2835	NAD-dependent threonine 4-phosphate dehydrogenase_c0		3.76		(1)  cpd00003[c0] + (1)  cpd03607[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd04539[c0]	(1)  NAD_c0[c0] + (1)  4-(Phosphonooxy) -threonine_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  2-Amino-3-oxo-4-phosphonooxybutyrate_c0[c0]	rxn03951	THPDH	R05681	Vitamin B6 metabolism	
rxn01022_c0	=	Cytosol_0	gene_650	S-methyl-5'-thioadenosine:phosphate S-methyl-5-thio-alpha-D-ribosyl-transferase_c0	2.4.2.28	-7.95		(1)  cpd00009[c0] + (1)  cpd00147[c0] <=> (1)  cpd00128[c0] + (1)  cpd02574[c0]	(1)  Phosphate_c0[c0] + (1)  5-Methylthioadenosine_c0[c0] <=> (1)  Adenine_c0[c0] + (1)  methylthioribose-1-phosphate_c0[c0]	rxn01022		R01402	Cysteine and methionine metabolism	Degradation|Methylthioadenosine-Degradation|NUCLEO-DEG
rxn05418_c0	=	Cytosol_0	gene_322	8-methyl-3-oxo-nonanoyl-ACP:NADP+ oxidoreductase_c0		-3.76		(1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd11554[c0] <=> (1)  cpd00006[c0] + (1)  cpd11555[c0]	(1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  8-methyl-3-oxo-nonanoyl-ACP_c0[c0] <=> (1)  NADP_c0[c0] + (1)  8-methyl-3-hydroxy-nonanoyl-ACP_c0[c0]	rxn05418				
rxn10060_c0	>	Cytosol_0	(gene_3901 or gene_1381)	NAD kinase (dTTP)_c0		-4.5		(1)  cpd00003[c0] + (1)  cpd00357[c0] => (1)  cpd00006[c0] + (1)  cpd00067[c0] + (1)  cpd00297[c0]	(1)  NAD_c0[c0] + (1)  TTP_c0[c0] => (1)  NADP_c0[c0] + (1)  H+_c0[c0] + (1)  dTDP_c0[c0]	rxn10060				
rxn00727_c0	>	Cytosol_0	(gene_3713 and gene_358)	Chorismate pyruvate-lyase (amino-accepting)_c0		-44.16		(1)  cpd00053[c0] + (1)  cpd00216[c0] => (1)  cpd00020[c0] + (1)  cpd00023[c0] + (1)  cpd00067[c0] + (1)  cpd00093[c0]	(1)  L-Glutamine_c0[c0] + (1)  Chorismate_c0[c0] => (1)  Pyruvate_c0[c0] + (1)  L-Glutamate_c0[c0] + (1)  H+_c0[c0] + (1)  Anthranilate_c0[c0]	rxn00727	ANS	R00986	Phenylalanine, tyrosine and tryptophan biosynthesis	ALKALOIDS-SYN|ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|N-CONTAINING-SECONDARY-CMPD-SYN|SECONDARY-METABOLITE-BIOSYNTHESIS|TRPSYN-PWY|TRYPTOPHAN-BIOSYNTHESIS
rxn10307_c0	=	Cytosol_0	(gene_2688 or gene_1177)	palmitoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0		-40.8		(24)  cpd00037[c0] + (1)  cpd15746[c0] <=> (24)  cpd00014[c0] + (1)  cpd15764[c0]	(24)  UDP-N-acetylglucosamine_c0[c0] + (1)  Palmitoyllipoteichoic acid (n=24) , linked, unsubstituted_c0[c0] <=> (24)  UDP_c0[c0] + (1)  Palmitoyllipoteichoic acid (n=24) , linked, N-acetyl-D-glucosamine_c0[c0]	rxn10307				
rxn03852_c0	=	Cytosol_0	(gene_3093 or gene_2393)	UDP-N-acetyl-D-mannosamine:N-acetyl-beta-D-glucosaminyldiphosphoundecaprenol beta-1,4-N-acetylmannosaminyltransferase_c0	2.4.1.187	-1.7		(1)  cpd00861[c0] + (1)  cpd00946[c0] <=> (1)  cpd00014[c0] + (1)  cpd02967[c0]	(1)  UDP-N-acetyl-D-mannosamine_c0[c0] + (1)  Undecaprenyl diphospho N-acetyl-glucosamine_c0[c0] <=> (1)  UDP_c0[c0] + (1)  N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D- glucosaminyldiphosphoundecaprenol_c0[c0]	rxn03852		R05566		Biosynthesis|Cell-Structure-Biosynthesis|TEICHOICACID-PWY
rxn12638_c0	>	Cytosol_0	((gene_323 or gene_331) or gene_621 or gene_3398 or gene_3398)	methionyl aminopeptidase_c0		-93.58		(1)  cpd00001[c0] + (1)  cpd11588[c0] => (1)  cpd00033[c0] + (1)  cpd00129[c0]	(1)  H2O_c0[c0] + (1)  gly-pro-L_c0[c0] => (1)  Glycine_c0[c0] + (1)  L-Proline_c0[c0]	rxn12638	MEAMP1(gly-pro-L)			
rxn01354_c0	=	Cytosol_0	(gene_5 or gene_1709 or gene_3623)	dGTP:pyruvate 2-O-phosphotransferase_c0		-4.92		(1)  cpd00020[c0] + (1)  cpd00241[c0] <=> (1)  cpd00061[c0] + (1)  cpd00067[c0] + (1)  cpd00295[c0]	(1)  Pyruvate_c0[c0] + (1)  dGTP_c0[c0] <=> (1)  Phosphoenolpyruvate_c0[c0] + (1)  H+_c0[c0] + (1)  dGDP_c0[c0]	rxn01354		R01858	Purine metabolism	
rxn02268_c0	>	Cytosol_0	gene_58	(S)-2-methylbutanoyl-CoA:oxygen 2,3-oxidoreductase_c0		-76.7937		(1)  cpd00007[c0] + (2)  cpd00760[c0] => (2)  cpd00001[c0] + (2)  cpd02125[c0]	(1)  O2_c0[c0] + (2)  2-Methylbutyryl-CoA_c0[c0] => (2)  H2O_c0[c0] + (2)  Tiglyl-CoA_c0[c0]	rxn02268				
rxn01445_c0	>	Cytosol_0	(gene_1379 or gene_2546)	2'-Deoxyguanosine 5'-monophosphate phosphohydrolase_c0		7.21		(1)  cpd00001[c0] + (1)  cpd00296[c0] => (1)  cpd00009[c0] + (1)  cpd00277[c0]	(1)  H2O_c0[c0] + (1)  dGMP_c0[c0] => (1)  Phosphate_c0[c0] + (1)  Deoxyguanosine_c0[c0]	rxn01445	NTD8	R01968	Purine metabolism	
rxn05248_c0	>	Cytosol_0	gene_1509	FACOAL150(anteiso)_c0		-2.486		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd11438[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd11439[c0]	(1)  ATP_c0[c0] + (1)  CoA_c0[c0] + (1)  fa4_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  fa4coa_c0[c0]	rxn05248				
rxn00612_c0	=	Cytosol_0	gene_48	sn-Glycerol-3-phosphate:NADP+ 2-oxidoreductase_c0		3.76		(1)  cpd00006[c0] + (1)  cpd00080[c0] <=> (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00095[c0]	(1)  NADP_c0[c0] + (1)  Glycerol-3-phosphate_c0[c0] <=> (1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  Glycerone-phosphate_c0[c0]	rxn00612	G3PD2	R00844	Glycerophospholipid metabolism	Biosynthesis|CDP-diacylglycerol-Biosynthesis|Lipid-Biosynthesis|PHOSLIPSYN-PWY|PHOSLIPSYN2-PWY|PWY0-1319|PWY4FS-7|PWY4FS-8|PhosphatidylglycerolBiosynthesis|Phospholipid-Biosynthesis
rxn08766_c0	>	Cytosol_0	gene_2058	FabH_c0		-7.37		(1)  cpd00022[c0] + (1)  cpd11492[c0] => (1)  cpd00010[c0] + (1)  cpd00011[c0] + (1)  cpd11488[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  Malonyl-acyl-carrierprotein-_c0[c0] => (1)  CoA_c0[c0] + (1)  CO2_c0[c0] + (1)  Acetoacetyl-ACP_c0[c0]	rxn08766	KAS15			Biosynthesis|FASYN-INITIAL-PWY|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY0-881
rxn05461_c0	=	Cytosol_0	(gene_322 or gene_2714)	3-Hydroxyoctodecanoyl-ACP:NADP+ oxidoreductase_c0		-3.76		(1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd11570[c0] <=> (1)  cpd00006[c0] + (1)  cpd11571[c0]	(1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  3-Oxooctodecanoyl-ACP_c0[c0] <=> (1)  NADP_c0[c0] + (1)  3-Hydroxyoctodecanoyl-ACP_c0[c0]	rxn05461				
rxn02159_c0	=	Cytosol_0	gene_1708	L-Histidinol:NAD+ oxidoreductase_c0		5.22		(1)  cpd00003[c0] + (1)  cpd00641[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd01324[c0]	(1)  NAD_c0[c0] + (1)  L-Histidinol_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  L-Histidinal_c0[c0]	rxn02159		R03012	Histidine metabolism	Amino-Acid-Biosynthesis|Biosynthesis|HISTIDINE-SYN|HISTSYN-PWY|IND-AMINO-ACID-SYN|PRPP-PWY
rxn01111_c0	>	Cytosol_0	gene_1348	ATP:D-ribulose-5-phosphate 1-phosphotransferase_c0		-14.03		(1)  cpd00002[c0] + (1)  cpd00171[c0] => (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd00871[c0]	(1)  ATP_c0[c0] + (1)  D-Ribulose5-phosphate_c0[c0] => (1)  ADP_c0[c0] + (1)  H+_c0[c0] + (1)  D-Ribulose 1,5-bisphosphate_c0[c0]	rxn01111	PRKIN	R01523	Carbon fixation in photosynthetic organisms	Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CALVIN-PWY|CARBO-BIOSYNTHESIS|CO2-Fixation|Carbohydrates-Biosynthesis|Degradation|Energy-Metabolism|PHOTOALL-PWY|Photosynthesis
rxn04161_c0	>	Cytosol_0	gene_3675	chlorophyllide-a:phytyl-diphosphate phytyltransferase_c0				(1)  cpd00067[c0] + (1)  cpd01449[c0] + (1)  cpd03214[c0] => (1)  cpd00012[c0] + (1)  cpd03148[c0]	(1)  H+_c0[c0] + (1)  Chlorophyllide_c0[c0] + (1)  Phytyl diphosphate_c0[c0] => (1)  PPi_c0[c0] + (1)  Chlorophyll a_c0[c0]	rxn04161		R06284	Porphyrin and chlorophyll metabolism	Biosynthesis|Chlorophyll-Biosynthesis|Chlorophyll-a-Biosynthesis|Cofactor-Biosynthesis|Porphyrin-Compounds-Biosynthesis
rxn10222_c0	>	Cytosol_0	gene_1008	isotetradecanoyl-phosphatidate cytidylyltransferase_c0		1.07		(1)  cpd00052[c0] + (1)  cpd15679[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd15685[c0]	(1)  CTP_c0[c0] + (1)  1,2-diisotetradecanoyl-sn-glycerol 3-phosphate_c0[c0] => (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  CDP-1,2-diisotetradecanoylglycerol_c0[c0]	rxn10222				
rxn10263_c0	=	Cytosol_0	gene_3442	anteisopentadecanoyl-CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase_c0		-4.5		(1)  cpd00080[c0] + (1)  cpd15687[c0] <=> (1)  cpd00046[c0] + (1)  cpd15720[c0]	(1)  Glycerol-3-phosphate_c0[c0] + (1)  CDP-1,2-dianteisopentadecanoylglycerol_c0[c0] <=> (1)  CMP_c0[c0] + (1)  Dianteisopentadecanoylphosphatidylglycerophosphate_c0[c0]	rxn10263				
rxn05466_c0	=	Cytosol_0	(gene_919 or gene_1095 or gene_686 or gene_3251 or gene_3250)	TRANS-RXN-173.ce_c0		0		(1)  cpd00013[e0] <=> (1)  cpd00013[c0]	(1)  NH3_e0[e0] <=> (1)  NH3_c0[c0]	rxn05466	NH3t			
rxn00917_c0	>	Cytosol_0	(gene_3847 or gene_3847)	Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)_c0		-23.14		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00053[c0] + (1)  cpd00497[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd00023[c0] + (3)  cpd00067[c0] + (1)  cpd00126[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  L-Glutamine_c0[c0] + (1)  XMP_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  L-Glutamate_c0[c0] + (3)  H+_c0[c0] + (1)  GMP_c0[c0]	rxn00917	GMPS2	R01231	Purine metabolism	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis
rxn08078_c0	=	Cytosol_0	gene_2823	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide beta -1,4-N-acetylglucosaminidase_c0				(1)  cpd00001[c0] + (1)  cpd15398[c0] <=> (1)  cpd00122[c0] + (1)  cpd15401[c0]	(1)  H2O_c0[c0] + (1)  N-Acetyl-D-glucosamine(anhydrous) N-Acetylmuramyl-tetrapeptide_c0[c0] <=> (1)  N-Acetyl-D-glucosamine_c0[c0] + (1)  1,6-anhydrous-N-Acetylmuramyl-tetrapeptide_c0[c0]	rxn08078	AGM4PH			
rxn00300_c0	>	Cytosol_0	gene_486	GTP 7,8-8,9-dihydrolase (diphosphate-forming)_c0	3.5.4.25	-37.6		(3)  cpd00001[c0] + (1)  cpd00038[c0] => (1)  cpd00012[c0] + (1)  cpd00047[c0] + (3)  cpd00067[c0] + (1)  cpd00957[c0]	(3)  H2O_c0[c0] + (1)  GTP_c0[c0] => (1)  PPi_c0[c0] + (1)  Formate_c0[c0] + (3)  H+_c0[c0] + (1)  2,5-Diamino-6-(5'-phosphoribosylamino) -4-pyrimidineone_c0[c0]	rxn00300	GTPCII2	R00425	Riboflavin metabolism	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn08792_c0	>	Cytosol_0	gene_3233	lactate oxidation_c0		-11.22		(1)  cpd00159[c0] + (1)  cpd15560[c0] => (1)  cpd00020[c0] + (1)  cpd15561[c0]	(1)  L-Lactate_c0[c0] + (1)  Ubiquinone-8_c0[c0] => (1)  Pyruvate_c0[c0] + (1)  Ubiquinol-8_c0[c0]	rxn08792	L-LACD2			
rxn08153_c0	=	Cytosol_0	gene_2286	arginine/ornithine antiporter (periplasm)_c0		0		(1)  cpd00051[e0] + (1)  cpd00064[c0] <=> (1)  cpd00051[c0] + (1)  cpd00064[e0]	(1)  L-Arginine_e0[e0] + (1)  Ornithine_c0[c0] <=> (1)  L-Arginine_c0[c0] + (1)  Ornithine_e0[e0]	rxn08153	ARGORNt7pp			
rxn05174_c0	>	Cytosol_0	(gene_1866 or gene_2930 or gene_859)	nickel transport via ABC system_c0		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00244[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00244[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Ni2+_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Ni2+_c0[c0]	rxn05174	NIabc			
rxn05585_c0	>	Cytosol_0	gene_4141	hexanesulfonate transport via ABC system_c0		-6.817		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd11578[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd11578[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  hexanesulfonate_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  hexanesulfonate_c0[c0]	rxn05585				
rxn03419_c0	=	Cytosol_0	gene_3315	formamidopyrimidine nucleoside triphosphate amidohydrolase_c0		-0.5		(1)  cpd00001[c0] + (1)  cpd03518[c0] <=> (1)  cpd00047[c0] + (1)  cpd00067[c0] + (1)  cpd03519[c0]	(1)  H2O_c0[c0] + (1)  Formamidopyrimidine nucleoside triphosphate_c0[c0] <=> (1)  Formate_c0[c0] + (1)  H+_c0[c0] + (1)  2,5-Diaminopyrimidine nucleoside triphosphate_c0[c0]	rxn03419		R05046	Folate biosynthesis	
rxn10256_c0	=	Cytosol_0	gene_3879	isopentadecanoyl-Diacylglycerol kinase_c0		-4.5		(1)  cpd00002[c0] + (1)  cpd15704[c0] <=> (1)  cpd00008[c0] + (1)  cpd15680[c0]	(1)  ATP_c0[c0] + (1)  1,2-Diisopentadecanoyl-sn-glycerol_c0[c0] <=> (1)  ADP_c0[c0] + (1)  1,2-diisopentadecanoyl-sn-glycerol 3-phosphate_c0[c0]	rxn10256				
rxn10314_c0	=	Cytosol_0	(gene_1177 or gene_2688)	anteisopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0		-40.8		(24)  cpd00037[c0] + (1)  cpd15753[c0] <=> (24)  cpd00014[c0] + (1)  cpd15771[c0]	(24)  UDP-N-acetylglucosamine_c0[c0] + (1)  Anteisopentadecanoyllipoteichoic acid (n=24) , linked, unsubstituted_c0[c0] <=> (24)  UDP_c0[c0] + (1)  Anteisopentadecanoyllipoteichoic acid (n=24) , linked, N-acetyl-D-glucosamine_c0[c0]	rxn10314				
rxn09111_c0	=	Cytosol_0	gene_3442	Phosphatidylglycerol synthase (n-C16:0)_c0		-16.7		(1)  cpd00080[c0] + (1)  cpd15419[c0] <=> (1)  cpd00046[c0] + (1)  cpd15545[c0]	(1)  Glycerol-3-phosphate_c0[c0] + (1)  CDP-1,2-dihexadecanoylglycerol_c0[c0] <=> (1)  CMP_c0[c0] + (1)  Phosphatidylglycerophosphate dihexadecanoyl_c0[c0]	rxn09111	PGSA160			
